name,jammer_frequency_hz,jammer_vpp_mv,generator_total_vpp_mv,expected_upp_mv,measured_upp_mv,upp_error_mv,expected_rms_mv,measured_rms_mv,rms_error_mv,expected_f1_hz,measured_f1_hz,f1_error_hz,expected_a1_peak_mv,measured_a1_peak_mv,a1_error_mv,expected_f2_hz,measured_f2_hz,f2_error_hz,expected_a2_peak_mv,measured_a2_peak_mv,a2_error_mv,measured_component_count,strict_match,signal_valid,measurement_elapsed_s,adc_overrun_max,pass
jammer_11mhz,11000000,200.0,448.9146557897738,250.0,251.1,1.0999999999999943,72.98657531307474,73.3,0.31342468692525927,250000.0,250003.0,3.0,84.55997574440367,85.0,0.4400242555963274,500000.0,500000.0,0.0,59.191983021082564,59.4,0.20801697891743487,2,True,1,1.25,0,True
jammer_12mhz,12000000,200.0,449.54826008201485,250.0,251.0,1.0,72.98657531307474,73.3,0.31342468692525927,250000.0,250003.0,3.0,84.55997574440367,85.0,0.4400242555963274,500000.0,500000.0,0.0,59.191983021082564,59.4,0.20801697891743487,2,True,1,1.2960000000020955,0,True
jammer_13mhz,13000000,200.0,448.68472339538783,250.0,251.3,1.3000000000000114,72.98657531307474,73.4,0.4134246869252678,250000.0,250003.0,3.0,84.55997574440367,85.0,0.4400242555963274,500000.0,500000.0,0.0,59.191983021082564,59.5,0.3080169789174363,2,True,1,1.2039999999979045,0,True
jammer_14mhz,14000000,200.0,448.9146557897742,250.0,251.4,1.4000000000000057,72.98657531307474,73.4,0.4134246869252678,250000.0,250003.0,3.0,84.55997574440367,85.1,0.5400242555963217,500000.0,500000.0,0.0,59.191983021082564,59.5,0.3080169789174363,2,True,1,1.3439999999973224,0,True
jammer_15mhz,15000000,200.0,449.4907044420213,250.0,251.4,1.4000000000000057,72.98657531307474,73.4,0.4134246869252678,250000.0,250003.0,3.0,84.55997574440367,85.0,0.4400242555963274,500000.0,500000.0,0.0,59.191983021082564,59.5,0.3080169789174363,2,True,1,1.3280000000013388,0,True
jammer_16mhz,16000000,200.0,449.51505854037003,250.0,251.5,1.5,72.98657531307474,73.4,0.4134246869252678,250000.0,250003.0,3.0,84.55997574440367,85.0,0.4400242555963274,500000.0,500000.0,0.0,59.191983021082564,59.6,0.4080169789174377,2,True,1,1.2810000000026776,0,True
jammer_17mhz,17000000,200.0,448.28631334525335,250.0,251.6,1.5999999999999943,72.98657531307474,73.5,0.5134246869252621,250000.0,250003.0,3.0,84.55997574440367,85.1,0.5400242555963217,500000.0,500000.0,0.0,59.191983021082564,59.6,0.4080169789174377,2,True,1,1.2030000000013388,0,True
jammer_18mhz,18000000,200.0,448.7069089230713,250.0,251.6,1.5999999999999943,72.98657531307474,73.4,0.4134246869252678,250000.0,250003.0,3.0,84.55997574440367,85.1,0.5400242555963217,500000.0,500000.0,0.0,59.191983021082564,59.6,0.4080169789174377,2,True,1,1.1880000000019209,0,True
jammer_19mhz,19000000,200.0,449.061134017055,250.0,251.5,1.5,72.98657531307474,73.4,0.4134246869252678,250000.0,250003.0,3.0,84.55997574440367,85.0,0.4400242555963274,500000.0,500000.0,0.0,59.191983021082564,59.6,0.4080169789174377,2,True,1,1.2810000000026776,0,True
jammer_20mhz,20000000,200.0,449.40664376504697,250.0,251.6,1.5999999999999943,72.98657531307474,73.4,0.4134246869252678,250000.0,250003.0,3.0,84.55997574440367,85.0,0.4400242555963274,500000.0,500000.0,0.0,59.191983021082564,59.6,0.4080169789174377,2,True,1,1.25,0,True
